STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,CNTY,ZIP,ZIP4,PHONE,C_OUT_TY,C_MSA,L_NUM_BM,WEB_ADDR,PUB_FIPS,CNTYFIPS,YR_SUB
CA,CA0073,16,M669.004,BRADLEY BRANCH LIBRARY,DIXIE ST.,BRADLEY,MONTEREY COUNTY,93426,330,8054729407,BR,NC,0,M,6,53,2001
CA,CA0073,17,M669.012,PARKFIELD BRANCH LIBRARY,70643 PARKFIELD-COALINGA RD.,SAN MIGUEL,MONTEREY COUNTY,93451,M,8054632347,BR,NC,0,M,6,53,2001
CA,CA0073,18,M669.009,KING CITY BRANCH LIBRARY,402 BROADWAY,KING CITY,MONTEREY COUNTY,93930,2999,8313853677,BR,NC,0,M,6,53,2001
CA,CA0073,19,M669.B02,MONTEREY CO - BOOKMOBILE,17822 MORO RD,SALINAS,MONTEREY COUNTY,93907,8524,8316632292,BS,NC,2,M,6,53,2001
CA,CA0073,21,M669.011,PAJARO BRANCH LIBRARY,29 BISHOP ST.,PAJARO,MONTEREY COUNTY,95076,5203,8317612545,BR,NC,0,M,6,53,2001
CA,CA0073,22,M669.018,BUENA VISTA BRANCH LIBRARY,18250 TARA DR.,SALINAS,MONTEREY COUNTY,93908,8752,8314559699,BR,NC,0,M,6,53,2001
CA,CA0074,2,M670.001,MONTEREY PUBLIC LIBRARY,625 PACIFIC ST.,MONTEREY,MONTEREY COUNTY,93940,2866,8316463932,CE,CC,0,M,6,53,2001
CA,CA0074,3,M670.B01,MONTEREY - BOOKMOBILE,625 PACIFIC ST.,MONTEREY,MONTEREY COUNTY,93940,2866,8316463710,BS,CC,1,M,6,53,2001
CA,CA0075,2,M671.001,BRUGGEMEYER MEMORIAL LIBRARY,318 S. RAMONA AVE.,MONTEREY PARK,LOS ANGELES COUNT,91754,3399,6263071418,CE,NC,0,M,6,37,2001
CA,CA0076,2,M672.001,MOUNTAIN VIEW PUBLIC LIBRARY,585 FRANKLIN ST.,MOUNTAIN VIEW,SANTA CLARA COUNT,94041,1998,6509036335,CE,NC,0,M,6,85,2001
CA,CA0076,3,M672.B01,MOUNTAIN VIEW - BOOKMOBILE,585 FRANKLIN ST.,MOUNTAIN VIEW,SANTA CLARA COUNT,94041,1998,6509036337,BS,NC,1,M,6,85,2001
CA,CA0077,2,M673.001,NAPA MAIN LIBRARY,580 COOMBS ST.,NAPA,NAPA COUNTY,94559,3396,7072534241,CE,CC,0,M,6,55,2001
CA,CA0077,3,M673.002,CALISTOGA PUBLIC LIBRARY,1108 MYRTLE ST.,CALISTOGA,NAPA COUNTY,94515,1730,7079424833,BR,NO,0,M,6,55,2001
CA,CA0077,4,M673.003,YOUNTVILLE LIBRARY,6548 YOUNT ST.,YOUNTVILLE,NAPA COUNTY,94599,1271,7079441888,BR,NO,0,M,6,55,2001
CA,CA0077,6,M673.004,AMERICAN CANYON,BENTON WAY,AMERICAN CANYON,NAPA COUNTY,94503,M,7076441136,BR,NO,0,M,6,55,2001
CA,CA0078,2,M674.001,NATIONAL CITY PUBLIC LIBRARY,200 E. 12TH ST.,NATIONAL CITY,SAN DIEGO COUNTY,91950,3314,6193364350,CE,CC,0,M,6,73,2001
CA,CA0079,2,M675.001,GRASS VALLEY LIBRARY,207 MILL STREET,GRASS VALLEY,NEVADA COUNTY,95945,6789,5302734117,BR,NO,0,M,6,57,2001
CA,CA0079,3,M675.003,TRUCKEE LIBRARY,10031 LEVON AVENUE,TRUCKEE,NEVADA COUNTY,96161,M,5305827846,BR,NO,0,M,6,57,2001
CA,CA0079,6,M675.002,MADELYN HELLING BRANCH,"980 HELLING WAY, GOVERNMENT CENTER",NEVADA CITY,NEVADA COUNTY,95959,M,5302657050,CE,NO,0,M,6,57,2001
CA,CA0079,7,M675.004,DORIS FOLEY LIBRARY OF HISTORICAL RESEARCH,211 N. PINE ST.,NEVADA CITY,NEVADA COUNTY,95959,2592,5302654606,BR,NO,0,M,6,57,2001
CA,CA0080,2,M676.001,CENTRAL LIBRARY,1000 AVOCADO AVE.,NEWPORT BEACH,ORANGE COUNTY,92660,7916,9497173800,CE,NC,0,M,6,59,2001
CA,CA0080,3,M676.002,CORONA DEL MAR LIBRARY,420 MARIGOLD AVE.,NEWPORT BEACH,ORANGE COUNTY,92660,7916,9497173800,BR,NC,0,M,6,59,2001
CA,CA0080,4,M676.003,MARINERS BRANCH LIBRARY,2005 DOVER DR.,NEWPORT BEACH,ORANGE COUNTY,92660,4499,9497173800,BR,NC,0,M,6,59,2001
CA,CA0080,5,M676.004,BALBOA LIBRARY,100 E. BALBOA BLVD.,NEWPORT BEACH,ORANGE COUNTY,92660,7916,9497173800,BR,NC,0,M,6,59,2001
CA,CA0081,2,M677.001,OAKLAND PUBLIC LIBRARY - MAIN LIBRARY,125 - 14TH ST.,OAKLAND,ALAMEDA COUNTY,94612,4310,5102383134,CE,CC,0,M,6,1,2001
CA,CA0081,3,M677.002,ASIAN BRANCH LIBRARY,"388 9TH ST., SUITE 190",OAKLAND,ALAMEDA COUNTY,94607,4287,5102733400,BR,CC,0,M,6,1,2001
CA,CA0081,4,M677.003,BROOKFIELD VILLAGE LIBRARY,9255 EDES AVE.,OAKLAND,ALAMEDA COUNTY,94603,1117,5106155725,BR,CC,0,M,6,1,2001
CA,CA0081,5,M677.004,DIMOND BRANCH LIBRARY,3565 FRUITVALE AVE.,OAKLAND,ALAMEDA COUNTY,94602,2236,5104827844,BR,CC,0,M,6,1,2001
CA,CA0081,6,M677.005,EASTMONT BRANCH LIBRARY,7200 BANCROFT AVE. SUITE 211,OAKLAND,ALAMEDA COUNTY,94605,2410,5106155726,BR,CC,0,M,6,1,2001
CA,CA0081,7,M677.006,ELMHURST BRANCH LIBRARY,1427 - 88TH AVE.,OAKLAND,ALAMEDA COUNTY,94621,1105,5106155727,BR,CC,0,M,6,1,2001
CA,CA0081,8,M677.007,GOLDEN GATE BRANCH LIBRARY,5606 SAN PABLO AVE.,OAKLAND,ALAMEDA COUNTY,94608,2728,5105975023,BR,CC,0,M,6,1,2001
CA,CA0081,9,M677.008,LAKEVIEW BRANCH LIBRARY,550 EL EMBARCADERO,OAKLAND,ALAMEDA COUNTY,94610,3612,5102387344,BR,CC,0,M,6,1,2001
CA,CA0081,10,M677.009,CESAR E. CHAVEZ BRANCH LIBRARY,1900 FRUITVALE AVE.,OAKLAND,ALAMEDA COUNTY,94601,2413,5105355620,BR,CC,0,M,6,1,2001
CA,CA0081,11,M677.010,MARTIN LUTHER KING JR. BRANCH LIBRARY,6833 INTERNATIONAL BLVD.,OAKLAND,ALAMEDA COUNTY,94621,3503,5106155728,BR,CC,0,M,6,1,2001
CA,CA0081,12,M677.011,MELROSE BRANCH LIBRARY,4805 FOOTHILL BLVD.,OAKLAND,ALAMEDA COUNTY,94601,5327,5105355623,BR,CC,0,M,6,1,2001
CA,CA0081,13,M677.012,MONTCLAIR BRANCH LIBRARY,1687 MOUNTAIN BLVD.,OAKLAND,ALAMEDA COUNTY,94611,2257,5104827810,BR,CC,0,M,6,1,2001
CA,CA0081,14,M677.013,PIEDMONT AVENUE BRANCH LIBRARY,160 - 41ST ST.,OAKLAND,ALAMEDA COUNTY,94611,5207,5105975011,BR,CC,0,M,6,1,2001
CA,CA0081,15,M677.014,ROCKRIDGE BRANCH LIBRARY,5366 COLLEGE AVE.,OAKLAND,ALAMEDA COUNTY,94618,1417,5105975017,BR,CC,0,M,6,1,2001
CA,CA0081,16,M677.015,TEMESCAL BRANCH LIBRARY,5205 TELEGRAPH AVE.,OAKLAND,ALAMEDA COUNTY,94609,1917,5105975049,BR,CC,0,M,6,1,2001
CA,CA0081,17,M677.016,WEST OAKLAND BRANCH LIBRARY,1801 ADELINE ST.,OAKLAND,ALAMEDA COUNTY,94607,2322,5102387352,BR,CC,0,M,6,1,2001
CA,CA0081,19,M677.B01,OAKLAND - BOOKMOBILE,125 14TH ST.,OAKLAND,ALAMEDA COUNTY,94612,2322,5102386718,BS,CC,1,M,6,1,2001
CA,CA0082,2,M678.001,OCEANSIDE PUBLIC LIBRARY,330 N. COAST HWY,OCEANSIDE,SAN DIEGO COUNTY,92054,2824,7604355600,CE,CC,0,M,6,73,2001
CA,CA0082,3,M678.002,MISSION BRANCH LIBRARY,3861 B MISSION AVE.,OCEANSIDE,SAN DIEGO COUNTY,92054,1878,7604355630,BR,CC,0,M,6,73,2001
CA,CA0082,5,M678.003,COMMUNITY COMPUTER CENTER,321 N. NEVADA ST.,OCEANSIDE,SAN DIEGO COUNTY,92054,M,7609664110,BR,CC,0,M,6,73,2001
CA,CA0082,6,M678.004,LEARNING CENTER,321 N. NEVADA ST,OCEANSIDE,SAN DIEGO COUNTY,92054,M,7609664677,BR,CC,0,M,6,73,2001
CA,CA0082,7,M678.B01,OCEANSIDE - BOOKMOBILE,330 N. COAST HIGHWAY,OCEANSIDE,SAN DIEGO COUNTY,92054,2824,M,BS,CC,2,M,6,73,2001
CA,CA0083,2,M679.001,ONTARIO CITY LIBRARY,215 E. C ST.,ONTARIO,SAN BERNARDINO CO,91764,4198,9093952004,CE,CC,0,M,6,71,2001
CA,CA0083,3,M679.002,SOUTH ONTARIO BRANCH LIBRARY,2403 D S. VINEYARD,ONTARIO,SAN BERNARDINO CO,91761,6224,9093952014,BR,CC,0,M,6,71,2001
CA,CA0084,2,M680.024,RANCHO SANTA MARGARITA BRANCH LIBRARY,30902 LA PROMESA,RANCHO SANTA MARG,ORANGE COUNTY,92688,2821,9494596094,BR,NC,0,M,6,59,2001
CA,CA0084,3,M680.002,BREA BRANCH LIBRARY,#1 CIVIC CENTER CIR.,BREA,ORANGE COUNTY,92821,5784,7146711722,BR,CC,0,M,6,59,2001
CA,CA0084,4,M680.003,COSTA MESA BRANCH LIBRARY,1855 PARK AVE.,COSTA MESA,ORANGE COUNTY,92627,2778,9496468845,BR,CC,0,M,6,59,2001
CA,CA0084,5,M680.004,MESA VERDE BRANCH LIBRARY,2969 MESA VERDE DRIVE EAST,COSTA MESA,ORANGE COUNTY,92626,3699,7145465274,BR,CC,0,M,6,59,2001
CA,CA0084,6,M680.005,CYPRESS BRANCH LIBRARY,5331 ORANGE AVE.,CYPRESS,ORANGE COUNTY,90630,2985,7148260350,BR,CC,0,M,6,59,2001
CA,CA0084,7,M680.006,DANA POINT BRANCH LIBRARY,33841 NIGUEL RD.,DANA POINT,ORANGE COUNTY,92629,4010,9494965517,BR,CC,0,M,6,59,2001
CA,CA0084,8,M680.007,EL TORO BRANCH LIBRARY,24672 RAYMOND WAY,LAKE FOREST,ORANGE COUNTY,92630,4489,9498558173,BR,CC,0,M,6,59,2001
CA,CA0084,9,M680.008,FOUNTAIN VALLEY BRANCH LIBRARY,17635 LOS ALAMOS ST.,FOUNTAIN VALLEY,ORANGE COUNTY,92708,5299,7149621324,BR,CC,0,M,6,59,2001
CA,CA0084,10,M680.009,CHAPMAN BRANCH LIBRARY,9182 CHAPMAN AVE.,GARDEN GROVE,ORANGE COUNTY,92841,2590,7145392115,BR,CC,0,M,6,59,2001
CA,CA0084,11,M680.010,GARDEN GROVE REGIONAL LIBRARY,11200 STANFORD AVE.,GARDEN GROVE,ORANGE COUNTY,92840,5389,7145300711,BR,CC,0,M,6,59,2001
CA,CA0084,12,M680.011,WEST GARDEN GROVE BRANCH LIBRARY,11962 BAILEY ST.,GARDEN GROVE,ORANGE COUNTY,92845,1104,7148972594,BR,CC,0,M,6,59,2001
CA,CA0084,13,M680.012,HERITAGE PARK BRANCH LIBRARY IRVINE,14361 YALE AVE.,IRVINE,ORANGE COUNTY,92604,1901,9499364040,BR,CC,0,M,6,59,2001
CA,CA0084,14,M680.013,UNIVERSITY PARK BRANCH LIBRARY,4512 SANDBURG WAY,IRVINE,ORANGE COUNTY,92612,2794,9497864001,BR,CC,0,M,6,59,2001
CA,CA0084,15,M680.014,LAGUNA BEACH BRANCH LIBRARY,363 GLENNEYRE ST.,LAGUNA BEACH,ORANGE COUNTY,92651,2310,9494971733,BR,CC,0,M,6,59,2001
CA,CA0084,16,M680.015,LA HABRA BRANCH LIBRARY,221 E. LA HABRA BLVD.,LA HABRA,ORANGE COUNTY,90631,5437,5626940078,BR,CC,0,M,6,59,2001
CA,CA0084,17,M680.016,LA PALMA BRANCH LIBRARY,7842 WALKER ST.,LA PALMA,ORANGE COUNTY,90623,1721,7145238585,BR,CC,0,M,6,59,2001
CA,CA0084,18,M680.017,LOS ALAMITOS-ROSSMOOR BRANCH LIBRARY,12700 MONTECITO RD.,SEAL BEACH,ORANGE COUNTY,90740,2745,5624301048,BR,CC,0,M,6,59,2001
CA,CA0084,20,M680.019,SAN CLEMENTE BRANCH LIBRARY,242 AVENIDA DEL MAR,SAN CLEMENTE,ORANGE COUNTY,92672,4005,9494923493,BR,CC,0,M,6,59,2001
CA,CA0084,21,M680.020,SAN JUAN CAPISTRANO REGIONAL LIBRARY,31495 EL CAMINO REAL,SAN JUAN CAPISTRA,ORANGE COUNTY,92675,2600,9494931752,BR,CC,0,M,6,59,2001
CA,CA0084,23,M680.022,MARY WILSON BRANCH LIBRARY,707 ELECTRIC AVE.,SEAL BEACH,ORANGE COUNTY,90740,6196,5624313584,BR,CC,0,M,6,59,2001
CA,CA0084,24,M680.023,SILVERADO BRANCH LIBRARY,28192 SILVERADO CANYON RD.,SILVERADO,ORANGE COUNTY,92676,535,7146492216,BR,NC,0,M,6,59,2001
CA,CA0084,25,M680.025,TUSTIN BRANCH LIBRARY,345 E. MAIN ST.,TUSTIN,ORANGE COUNTY,92780,4491,7145447725,BR,CC,0,M,6,59,2001
CA,CA0084,26,M680.026,VILLA PARK BRANCH LIBRARY,17865 SANTIAGO BLVD.,VILLA PARK,ORANGE COUNTY,92861,4105,7149980861,BR,CC,0,M,6,59,2001
CA,CA0084,27,M680.027,WESTMINSTER BRANCH LIBRARY,8180 13TH ST.,WESTMINSTER,ORANGE COUNTY,92683,8118,7148935057,BR,CC,0,M,6,59,2001
CA,CA0084,28,M680.028,STANTON BRANCH LIBRARY,7850 KATELLA AVE.,STANTON,ORANGE COUNTY,90680,3195,7148983302,BR,CC,0,M,6,59,2001
CA,CA0084,29,M680.029,LAGUNA NIGUEL BRANCH LIBRARY,30341 CROWN VALLEY PARKWAY,LAGUNA NIGUEL,ORANGE COUNTY,92677,6326,9492495252,BR,CC,0,M,6,59,2001
CA,CA0084,30,M680.030,ALISO VIEJO BRANCH LIBRARY,1 JOURNEY,ALISO VIEJO,ORANGE COUNTY,92656,3333,9493601730,BR,NC,0,M,6,59,2001
CA,CA0085,2,M681.001,"ORANGE PUBLIC LIBRARY, MAIN LIBRARY",101 N. CENTER ST.,ORANGE,ORANGE COUNTY,92866,1594,7142882400,CE,NC,0,M,6,59,2001
CA,CA0085,3,M681.002,EL MODENA BRANCH LIBRARY,380 S. HEWES ST.,ORANGE,ORANGE COUNTY,92869,M,7142882451,BR,NC,0,M,6,59,2001
CA,CA0085,4,M681.003,TAFT BRANCH LIBRARY,740 E. TAFT AVE.,ORANGE,ORANGE COUNTY,92865,4404,7142882433,BR,NC,0,M,6,59,2001
CA,CA0086,2,M682.001,ORLAND FREE LIBRARY,333 MILL ST.,ORLAND,GLENN COUNTY,95963,1788,5308651640,CE,NO,0,M,6,21,2001
CA,CA0087,2,M683.001,OXNARD PUBLIC LIBRARY,251 SOUTH A ST.,OXNARD,VENTURA COUNTY,93030,5750,8053857500,CE,CC,0,M,6,111,2001
CA,CA0087,3,M683.003,COLONIA CENTER LIBRARY,1500 CAMINO DEL SOL #21,OXNARD,VENTURA COUNTY,93030,3714,8053858108,BR,CC,0,M,6,111,2001
CA,CA0087,4,M683.004,SOUTH OXNARD CENTER BRANCH LIBRARY,200 EAST BARD ROAD,OXNARD,VENTURA COUNTY,93033,7110,8053858129,BR,CC,0,M,6,111,2001
CA,CA0088,2,M684.001,PACIFIC GROVE PUBLIC LIBRARY,550 CENTRAL AVE.,PACIFIC GROVE,MONTEREY COUNTY,93950,2789,8316485760,CE,NC,0,M,6,53,2001
CA,CA0089,2,M685.001,PALMDALE CITY LIBRARY,700 E. PALMDALE BLVD.,PALMDALE,LOS ANGELES COUNT,93550,4742,6612675600,CE,NC,0,M,6,37,2001
CA,CA0089,3,M685.002,PALMDALE YOUTH LIBRARY,38510 N. SIERRA HWY,PALMDALE,LOS ANGELES COUNT,93550,M,6612675222,BR,NC,0,pcl@palmdale.lib.ca.us,6,37,2001
CA,CA0090,2,M686.001,PALM SPRINGS PUBLIC LIBRARY,300 S. SUNRISE WAY,PALM SPRINGS,RIVERSIDE COUNTY,92262,7699,7603227323,CE,NO,0,M,6,65,2001
CA,CA0091,2,M687.001,MAIN LIBRARY,1213 NEWELL RD.,PALO ALTO,SANTA CLARA COUNT,94303,2999,6503292436,CE,NC,0,M,6,85,2001
CA,CA0091,3,M687.002,CHILDREN'S LIBRARY,1276 HARRIET ST.,PALO ALTO,SANTA CLARA COUNT,94301,3461,6503292134,BR,NC,0,M,6,85,2001
CA,CA0091,4,M687.003,COLLEGE TERRACE LIBRARY,2300 WELLESLEY ST.,PALO ALTO,SANTA CLARA COUNT,94306,1337,6503292298,BR,NC,0,M,6,85,2001
CA,CA0091,5,M687.004,DOWNTOWN BRANCH,270 FOREST AVE.,PALO ALTO,SANTA CLARA COUNT,94301,2512,6503292641,BR,NC,0,M,6,85,2001
CA,CA0091,6,M687.005,MITCHELL PARK BRANCH,3700 MIDDLEFIELD RD.,PALO ALTO,SANTA CLARA COUNT,94303,4714,6503292586,BR,NC,0,M,6,85,2001
CA,CA0091,7,M687.006,TERMAN PARK BRANCH,661 ARASTRADERO,PALO ALTO,SANTA CLARA COUNT,94306,3838,6503292606,BR,NC,0,M,6,85,2001
CA,CA0092,2,M688.001,PENINSULA CENTER LIBRARY,701 SILVER SPUR RD.,ROLLING HILLS EST,LOS ANGELES COUNT,90274,3662,3103779584,CE,NC,0,M,6,37,2001
CA,CA0092,3,M688.002,MALAGA COVE PLAZA LIBRARY,2400 VIA CAMPESINA,PALOS VERDES ESTA,LOS ANGELES COUNT,90274,3662,3103779584,BR,NC,0,M,6,37,2001
CA,CA0092,4,M688.003,MIRALESTE LIBRARY,29089 PALOS VERDES DR. E.,RANCHO PALOS VERD,LOS ANGELES COUNT,90275,M,3103779584,BR,NC,0,M,6,37,2001
CA,CA0093,2,M689.001,PALO VERDE VALLEY DISTRICT LIBRARY,125 W. CHANSLORWAY,BLYTHE,RIVERSIDE COUNTY,92225,1293,7609225371,CE,NO,0,M,6,65,2001
CA,CA0094,2,M690.001,PASADENA CENTRAL LIBRARY,285 E. WALNUT ST.,PASADENA,LOS ANGELES COUNT,91101,1598,6267444033,CE,NC,0,M,6,37,2001
CA,CA0094,3,M690.002,ALLENDALE BRANCH LIBRARY,1130 S. MARENGO AVE.,PASADENA,LOS ANGELES COUNT,91106,4224,6267992519,BR,NC,0,M,6,37,2001
CA,CA0094,4,M690.003,HASTINGS BRANCH LIBRARY,3325 E. ORANGE GROVE BLVD.,PASADENA,LOS ANGELES COUNT,91107,2018,6267920945,BR,NC,0,M,6,37,2001
CA,CA0094,5,M690.004,HILL AVE. BRANCH LIBRARY,55 S. HILL AVE.,PASADENA,LOS ANGELES COUNT,91106,2601,6267961276,BR,NC,0,M,6,37,2001
CA,CA0094,6,M690.005,LAMANDA PARK BRANCH LIBRARY,140 S. ALTADENA DR.,PASADENA,LOS ANGELES COUNT,91107,4262,6267935672,BR,NC,0,M,6,37,2001
CA,CA0094,7,M690.006,LA PINTORESCA BRANCH LIBRARY,1355 N. RAYMOND AVE.,PASADENA,LOS ANGELES COUNT,91103,2235,6267971873,BR,NC,0,M,6,37,2001
CA,CA0094,8,M690.007,LINDA VISTA BRANCH LIBRARY,1281 BRYANT ST.,PASADENA,LOS ANGELES COUNT,91103,2307,6267931808,BR,NC,0,M,6,37,2001
CA,CA0094,9,M690.008,SAN RAFAEL BRANCH LIBRARY,1240 NITHSDALE,PASADENA,LOS ANGELES COUNT,91105,1435,6267957974,BR,NC,0,M,6,37,2001
CA,CA0094,10,M690.009,SANTA CATALINA BRANCH LIBRARY,999 E. WASHINGTON BLVD.,PASADENA,LOS ANGELES COUNT,91104,2439,6267941219,BR,NC,0,M,6,37,2001
CA,CA0094,11,M690.010,VILLA PARKE COMMUNITY CENTER LIBRARY,363 E. VILLA,PASADENA,LOS ANGELES COUNT,91104,M,6266836510,BR,NC,0,M,6,37,2001
CA,CA0095,2,M691.001,PASO ROBLES PUBLIC LIBRARY,1000 SPRING ST.,PASO ROBLES,SAN LUIS OBISPO C,93446,2207,8052373870,CE,NO,0,M,6,79,2001
CA,CA0096,2,M692.001,PLACENTIA LIBRARY,411 E. CHAPMAN AVE.,PLACENTIA,ORANGE COUNTY,92870,6198,7145281906,CE,NC,0,M,6,59,2001
CA,CA0097,2,M693.001,PLUMAS COUNTY LIBRARY,445 JACKSON ST.,QUINCY,PLUMAS COUNTY,95971,9410,5302836310,CE,NO,0,M,6,63,2001
CA,CA0097,3,M693.002,CHESTER BRANCH LIBRARY,222 FIRST AVE.,CHESTER,PLUMAS COUNTY,96020,429,5302582742,BR,NO,0,M,6,63,2001
CA,CA0097,4,M693.003,GREENVILLE BRANCH LIBRARY,204 ANN ST.,GREENVILLE,PLUMAS COUNTY,95947,635,5302847416,BR,NO,0,M,6,63,2001
CA,CA0097,5,M693.004,PORTOLA BRANCH LIBRARY,34 3RD AVE.,PORTOLA,PLUMAS COUNTY,96122,M,5308324241,BR,NO,0,M,6,63,2001
CA,CA0097,6,M693.005,ALLEGHANY STATION LIBRARY,M,ALLEGHANY,SIERRA COUNTY,95910,1005,5302873287,BR,NO,0,M,6,91,2001
CA,CA0097,8,M693.007,DOWNIEVILLE STATION LIBRARY,M,DOWNIEVILLE,SIERRA COUNTY,95936,3544,5302893142,BR,NO,0,M,6,91,2001
CA,CA0097,9,M693.008,LA PORTE STATION LIBRARY,1861 CEDAR LANE,LA PORTE,PLUMAS COUNTY,95981,267,M,BR,NO,0,M,6,63,2001
CA,CA0097,10,M693.009,LOYALTON STATION LIBRARY,511 MAIN ST.,LOYALTON,SIERRA COUNTY,96118,98,5309931105,BR,NO,0,M,6,91,2001
CA,CA0097,11,M693.010,SIERRA CITY STATION LIBRARY,HWY. 49,SIERRA CITY,SIERRA COUNTY,96125,M,5308620210,BR,NO,0,M,6,91,2001
CA,CA0098,2,M694.001,POMONA PUBLIC LIBRARY,625 S. GAREY AVE.,POMONA,LOS ANGELES COUNT,91766,3322,9096202043,CE,NC,0,M,6,37,2001
CA,CA0099,2,M695.001,PORTERVILLE PUBLIC LIBRARY,41 W. THURMAN AVE.,PORTERVILLE,TULARE COUNTY,93257,3652,5597840177,CE,NC,0,M,6,107,2001
CA,CA0100,2,M696.001,REDONDO BEACH PUBLIC LIBRARY,303 N. PACIFIC COAST HWY,REDONDO BEACH,LOS ANGELES COUNT,90277,2838,3103180674,CE,NC,0,M,6,37,2001
CA,CA0100,3,M696.002,NORTH BRANCH LIBRARY,2000 ARTESIA BLVD.,REDONDO BEACH,LOS ANGELES COUNT,90278,3012,3103180677,BR,NC,0,M,6,37,2001
CA,CA0101,2,M697.001,REDWOOD CITY PUBLIC LIBRARY,1044 MIDDLEFIELD ROAD,REDWOOD CITY,SAN MATEO COUNTY,94063,1868,6507807061,CE,CC,0,M,6,81,2001
CA,CA0101,3,M697.002,SCHABERG BRANCH LIBRARY,2140 EUCLID AVE.,REDWOOD CITY,SAN MATEO COUNTY,94061,1327,6507807010,BR,NC,0,M,6,81,2001
CA,CA0101,4,M697.003,FAIR OAKS BRANCH LIBRARY,2510 MIDDLEFIELD RD,REDWOOD CITY,SAN MATEO COUNTY,94063,3402,6507807261,BR,NC,0,M,6,81,2001
CA,CA0102,2,M698.001,RICHMOND PUBLIC LIBRARY,325 CIVIC CENTER PLAZA,RICHMOND,CONTRA COSTA COUN,94804,1659,5106206555,CE,NC,0,M,6,13,2001
CA,CA0102,3,M698.002,BAYVIEW BRANCH LIBRARY,5100 HARTNETT AVE.,RICHMOND,CONTRA COSTA COUN,94804,4700,5106206566,BR,NC,0,M,6,13,2001
CA,CA0102,4,M698.003,WEST SIDE BRANCH LIBRARY,135 WASHINGTON AVE.,RICHMOND,CONTRA COSTA COUN,94801,3946,5106206567,BR,NC,0,M,6,13,2001
CA,CA0102,5,M698.B02,RICHMOND - BOOKMOBILE,325 CIVIC CENTER PLAZA,RICHMOND,CONTRA COSTA COUN,94804,1659,5103078089,BS,NC,1,M,6,13,2001
CA,CA0103,2,M699.001,RIVERSIDE PUBLIC MAIN LIBRARY,3581 MISSION INN AVE.,RIVERSIDE,RIVERSIDE COUNTY,92501,M,9098265213,CE,CC,0,M,6,65,2001
CA,CA0103,3,M699.002,ARLINGTON BRANCH LIBRARY,9556 MAGNOLIA AVE.,RIVERSIDE,RIVERSIDE COUNTY,92503,3698,9096896612,BR,CC,0,M,6,65,2001
CA,CA0103,4,M699.003,CASA BLANCA BRANCH LIBRARY,2985 MADISON ST.,RIVERSIDE,RIVERSIDE COUNTY,92504,4480,9096883825,BR,CC,0,M,6,65,2001
CA,CA0103,5,M699.004,LA SIERRA BRANCH LIBRARY,4600 LA SIERRA,RIVERSIDE,RIVERSIDE COUNTY,92505,2722,9096887740,BR,CC,0,M,6,65,2001
CA,CA0103,6,M699.005,MARCY BRANCH LIBRARY,3711 CENTRAL AVE.,RIVERSIDE,RIVERSIDE COUNTY,92506,2468,9096825524,BR,CC,0,M,6,65,2001
CA,CA0104,2,M700.001,ROSEVILLE PUBLIC LIBRARY,225 TAYLOR ST.,ROSEVILLE,PLACER COUNTY,95678,2681,9167745221,CE,NC,0,M,6,61,2001
CA,CA0104,3,M700.002,MAIDU BRANCH LIBRARY,1530 MAIDU DRIVE,ROSEVILLE,PLACER COUNTY,95661,M,9167745900,BR,NC,0,M,6,61,2001
CA,CA0105,2,M701.002,CENTRAL LIBRARY,828 I STREET,SACRAMENTO,SACRAMENTO COUNTY,95814,2589,9162642700,CE,CC,0,M,6,67,2001
CA,CA0105,3,M701.003,ARCADE COMMUNITY LIBRARY,2443 MARCONI AVE.,SACRAMENTO,SACRAMENTO COUNTY,95821,4889,9162642700,BR,NC,0,M,6,67,2001
CA,CA0105,4,M701.004,ARDEN BRANCH LIBRARY,891 WATT AVE.,SACRAMENTO,SACRAMENTO COUNTY,95864,5057,9162642700,BR,NC,0,M,6,67,2001
CA,CA0105,5,M701.005,CARMICHAEL REGIONAL LIBRARY,5605 MARCONI AVE.,CARMICHAEL,SACRAMENTO COUNTY,95608,4499,9162642700,BR,NC,0,M,6,67,2001
CA,CA0105,6,M701.006,BELLE COOLEDGE BRANCH LIBRARY,5600 SOUTH LAND PARK DR.,SACRAMENTO,SACRAMENTO COUNTY,95822,3306,9162642700,BR,CC,0,M,6,67,2001
CA,CA0105,8,M701.008,DEL PASO BRANCH LIBRARY,920 GRAND AVE.,SACRAMENTO,SACRAMENTO COUNTY,95838,3499,9162642700,BR,CC,0,M,6,67,2001
CA,CA0105,9,M701.009,ELK GROVE BRANCH LIBRARY,8962 ELK GROVE BLVD.,ELK GROVE,SACRAMENTO COUNTY,95624,1946,9162642700,BR,NC,0,M,6,67,2001
CA,CA0105,10,M701.010,FAIR OAKS/ORANGEVALE COMMUNITY LIBRARY,11601 FAIR OAKS BLVD.,FAIR OAKS,SACRAMENTO COUNTY,95628,3798,9162642700,BR,NC,0,M,6,67,2001
CA,CA0105,12,M701.012,GALT BRANCH LIBRARY,1000 CAROLINE AVE.,GALT,SACRAMENTO COUNTY,95632,2098,9162642700,BR,NO,0,M,6,67,2001
